,AGIXUSDT,FETUSDT,GRTUSDT,INJUSDT,LDOUSDT,OPUSDT,RNDRUSDT,SHIB1000USDT
pnl_ratio,0.12166704701738781,0.2458056555618134,0.09640792872595304,0.19154680105286057,0.12106344226653468,0.06732150869110126,0.09179085572753554,0.0643967609568137
pnl_ratio_long_short,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pnl_long,981.8440991517665,1983.6335176032262,778.0048768463433,1545.7685621174892,976.9730533150049,543.2796116511786,740.745438157071,519.6771130715315
pnl_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_profit_long,1202.7752392990506,2543.757105417565,1067.5845602901795,1930.4943082732993,1496.6134809412001,778.743206565937,874.3340803381924,581.749606957679
sum_loss_long,-220.93114014728408,-560.1235878143386,-289.57968344383613,-384.72574615581016,-519.6404276261952,-235.46359491475852,-133.5886421811212,-62.0724938861475
loss_profit_ratio_long,0.18368447647462183,0.22019538996919782,0.27124753786728206,0.19928872336325204,0.3472108425078467,0.30236359422394726,0.15278901415972385,0.10669967481501562
sum_profit_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_loss_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loss_profit_ratio_short,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stuck_time_ratio_long,0.015273520702374149,0.016364486466829444,0.0017663255234038131,0.08208218608758897,0.02763779936620084,0.0003117045041300847,0.0005714582575718219,0.0
stuck_time_ratio_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_fills_per_day,19.538653366583542,18.28428927680798,14.763092269326684,13.036159600997506,17.679551122194514,10.054862842892769,14.99002493765586,12.9214463840399
upnl_pct_min_long,-0.06479702835664615,-0.05549958834635076,-0.07663936224643535,-0.1475401413159987,-0.13770301258852322,-0.056638370432168836,-0.08239597018695297,-0.06902418971147616
upnl_pct_min_short,,,,,,,,
