,AGIXUSDT,DOGEUSDT,FETUSDT,GRTUSDT,LDOUSDT,OPUSDT,RNDRUSDT,SHIB1000USDT
pnl_ratio,0.09750195623512746,0.08360188410572698,0.10473160925031218,0.1392752416464867,0.11830034451458829,0.15874766075936883,0.19060702567963936,0.10723427780875024
pnl_ratio_long_short,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pnl_long,42.0303500000001,36.03842000000009,45.14685000000005,60.037638,50.995949999999894,68.43164999999993,82.1653258161808,46.2256800000001
pnl_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_profit_long,42.0303500000001,36.03842000000009,45.14685000000004,60.037637999999994,50.9959499999999,68.43164999999992,82.16532581618077,46.2256800000001
sum_loss_long,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loss_profit_ratio_long,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_profit_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum_loss_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loss_profit_ratio_short,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stuck_time_ratio_long,0.0,0.0,0.0,0.0,0.0,0.0,0.0002104266400126256,0.0
stuck_time_ratio_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_fills_per_day,3.650252525252525,3.9305555555555554,4.018939393939394,6.583333333333333,4.877525252525253,7.460858585858586,8.901515151515152,5.507575757575758
upnl_pct_min_long,-0.029099058761562116,-0.036398705106157364,-0.014747934021542081,-0.02969371222813886,-0.03796872270375296,-0.036157688666179764,-0.04113035029775608,-0.02471282519849892
upnl_pct_min_short,,,,,,,,
